,Vehicle ID,ZIP Code,VIN Prefix,Vehicle Name,Technology
29,WA-044-2823852,98065,5YJ3E1EA,Tesla Model 3,BEV
30,WA-044-179328012,98121,3FMTK4SE,Ford Mustang Mach-E,BEV
31,WA-044-140116756,98612,1G1RC6S5,Chevrolet Volt,PHEV
32,WA-044-156955613,98038,5YJ3E1EA,Tesla Model 3,BEV
33,WA-044-177571971,98366,5YJSA1E2,Tesla Model S,BEV
34,WA-044-167079167,98112,5UXTA6C0,BMW X5,PHEV
35,WA-044-109707167,98109,5YJYGDEE,Tesla Model Y,BEV
36,WA-044-140190424,98662,1G1RD6S5,Chevrolet Volt,PHEV
37,WA-044-141347440,98118,1G1FW6S0,Chevrolet Bolt EV,BEV
38,WA-044-109160985,99003,5YJSA1E4,Tesla Model S,BEV
39,WA-044-141324970,98229,5YJ3E1EB,Tesla Model 3,BEV
40,WA-044-181306520,98103,JHMZC5F1,Honda Clarity Plug In,PHEV
41,WA-044-120406002,98512,5YJ3E1EA,Tesla Model 3,BEV
42,WA-044-133503240,98569,5YJSA1CP,Tesla Model S,BEV
43,WA-044-133057669,98445,5YJ3E1EA,Tesla Model 3,BEV
44,WA-044-138355605,98332,1FADP5EU,Ford C-Max Energi,PHEV
45,WA-044-133821264,98661,5YJ3E1EB,Tesla Model 3,BEV
46,WA-044-104282426,98087,5YJ3E1EA,Tesla Model 3,BEV
47,WA-044-474944991,98208,5YJ3E1EB,Tesla Model 3,BEV
48,WA-044-167007816,98027,1N4BZ0CP,Nissan Leaf,BEV
49,WA-044-109997387,98155,5YJYGDEE,Tesla Model Y,BEV
50,WA-044-104474338,98346,5YJ3E1EA,Tesla Model 3,BEV
51,WA-044-101310695,98105,3FA6P0SU,Ford Fusion Energi,PHEV
52,WA-044-161729690,98223,5YJYGAEE,Tesla Model Y,BEV
53,WA-044-138302643,98034,5YJXCBE4,Tesla Model X,BEV
54,WA-044-185460908,98662,JTMEB3FV,Toyota RAV4 Prime,PHEV
55,WA-044-196993709,98038,1G1RA6S5,Chevrolet Volt,PHEV
56,WA-044-150402255,98126,1G1RD6S5,Chevrolet Volt,PHEV
57,WA-044-104829658,98103,WMEEJ9AA,Smart forTwo EV,BEV
58,WA-044-304666428,98006,1G1RC6S5,Chevrolet Volt,PHEV
59,WA-044-161730558,98335,WVGTMPE2,Volkswagen ID.4,BEV
60,WA-044-148583186,98335,5YJYGDEE,Tesla Model Y,BEV
61,WA-044-108950775,98177,SADHD2S1,Jaguar I-Pace,BEV
62,WA-044-208480520,98629,5YJSA1E1,Tesla Model S,BEV
63,WA-044-141538848,98275,5YJYGDEE,Tesla Model Y,BEV
64,WA-044-170492409,98118,5YJYGDEE,Tesla Model Y,BEV
65,WA-044-127827143,98346,5YJSA1E2,Tesla Model S,BEV
66,WA-044-104664045,98112,5YJYGDEF,Tesla Model Y,BEV
67,WA-044-104499090,98236,1G1RC6S5,Chevrolet Volt,PHEV
68,WA-044-113898312,98146,1N4BZ0CP,Nissan Leaf,BEV
69,WA-044-475054534,98258,5YJ3E1EB,Tesla Model 3,BEV
70,WA-044-104753190,98226,JTDKARFP,Toyota Prius Prime,PHEV
71,WA-044-141240221,98117,1FADP5CU,Ford C-Max Energi,PHEV
72,WA-044-156777582,98121,5YJYGAEE,Tesla Model Y,BEV
73,WA-044-220822423,98661,1N4AZ0CP,Nissan Leaf,BEV
74,WA-044-125450440,98177,WBY1Z4C5,BMW i3 REx,PHEV
75,WA-044-148495924,98682,5YJXCAE2,Tesla Model X,BEV
76,WA-044-248093835,98144,1G1RA6E4,Chevrolet Volt,PHEV
77,WA-044-156692196,98199,5YJ3E1EB,Tesla Model 3,BEV
78,WA-044-478149584,98074,5YJ3E1EB,Tesla Model 3,BEV
79,WA-044-150435687,98275,5YJYGDEE,Tesla Model Y,BEV
80,WA-044-148256552,98663,1N4AZ1CP,Nissan Leaf,BEV
81,WA-044-133854780,98053,5YJSA1E2,Tesla Model S,BEV
82,WA-044-141776631,98290,5YJYGDED,Tesla Model Y,BEV
83,WA-044-124531116,98006,5YJSA1E2,Tesla Model S,BEV
84,WA-044-103655499,98177,1N4AZ1CP,Nissan Leaf,BEV
85,WA-044-185868539,98405,1FADP5FU,Ford C-Max Energi,PHEV
86,WA-044-129664657,98033,1N4BZ0CP,Nissan Leaf,BEV
87,WA-044-114278573,98201,5YJYGDEF,Tesla Model Y,BEV
88,WA-044-113049877,98052,1N4BZ1CP,Nissan Leaf,BEV
89,WA-044-101065268,98021,WBY1Z4C5,BMW i3 REx,PHEV
90,WA-044-106079837,99338,5YJ3E1EB,Tesla Model 3,BEV
91,WA-044-104620603,98311,3C3CFFGE,Fiat 500e,BEV
92,WA-044-476301395,98105,5YJ3E1EB,Tesla Model 3,BEV
93,WA-044-105351655,98072,5YJSA1DP,Tesla Model S,BEV
94,WA-044-133633461,98012,1N4AZ0CP,Nissan Leaf,BEV
95,WA-044-108014497,98606,5YJRE1A1,Tesla Roadster,BEV
96,WA-044-181279780,98501,5YJ3E1EB,Tesla Model 3,BEV
97,WA-044-124439675,98270,5YJSA1E2,Tesla Model S,BEV
98,WA-044-176955131,98033,5YJ3E1EA,Tesla Model 3,BEV
99,WA-044-110241197,98465,5YJ3E1EB,Tesla Model 3,BEV
100,WA-044-100024515,98275,WBY1Z4C5,BMW i3 REx,PHEV
101,WA-044-263957571,98310,JN1AZ0CP,Nissan Leaf,BEV
102,WA-044-124563883,98052,YV4BC0PL,Volvo XC90 Plug In,PHEV
103,WA-044-110007971,98012,5YJYGDEE,Tesla Model Y,BEV
104,WA-044-144884302,98902,JTDKAMFP,Toyota Prius Prime,PHEV
105,WA-044-208182250,98503,JN1AZ0CP,Nissan Leaf,BEV
106,WA-044-235127581,98270,KNDJP3AE,Kia Soul EV,BEV
107,WA-044-103510655,98003,5YJ3E1EB,Tesla Model 3,BEV
108,WA-044-100797686,98144,WA1VABGE,Audi e-tron,BEV
109,WA-044-9884780,98261,1N4BZ1CP,Nissan Leaf,BEV
110,WA-044-260947046,98019,5YJSA1E2,Tesla Model S,BEV
111,WA-044-3467614,98007,5YJ3E1EA,Tesla Model 3,BEV
112,WA-044-292791124,98029,5YJ3E1EB,Tesla Model 3,BEV
113,WA-044-154241825,98506,5YJ3E1EB,Tesla Model 3,BEV
114,WA-044-336562838,98023,1N4BZ1CP,Nissan Leaf,BEV
115,WA-044-238152519,98021,5YJXCDE2,Tesla Model X,BEV
116,WA-044-304358736,98053,JHMZC5F3,Honda Clarity Plug In,PHEV
117,WA-044-325098861,98050,5YJ3E1EB,Tesla Model 3,BEV
118,WA-044-8861044,98110,KNDJX3AE,Kia Soul EV,BEV
119,WA-044-261177850,98155,1FADP5CU,Ford C-Max Energi,PHEV
120,WA-044-237046323,98155,KNDJX3AE,Kia Soul EV,BEV
121,WA-044-335613820,98059,1G1FX6S0,Chevrolet Bolt EV,BEV
122,WA-044-236833915,98103,5YJSA1E2,Tesla Model S,BEV
123,WA-044-233564292,98333,5YJ3E1EA,Tesla Model 3,BEV
124,WA-044-8952282,98370,KNDCD3LD,Kia Niro Plug In,PHEV
125,WA-044-316279484,98245,3FA6P0SU,Ford Fusion Energi,PHEV
126,WA-044-164204365,98115,3FA6P0PU,Ford Fusion Energi,PHEV
127,WA-044-157700784,98102,1C4JJXR6,Jeep Wrangler Plug In,PHEV
128,WA-044-350304944,98014,5YJ3E1EA,Tesla Model 3,BEV
129,WA-044-333151710,98133,5YJSA1E2,Tesla Model S,BEV
130,WA-044-188211789,98244,1N4AZ0CP,Nissan Leaf,BEV
131,WA-044-304540736,98074,5YJ3E1EA,Tesla Model 3,BEV
132,WA-044-232756639,98444,5YJ3E1EA,Tesla Model 3,BEV
133,WA-044-477773957,98087,5YJ3E1EA,Tesla Model 3,BEV
134,WA-044-312712662,98011,5YJ3E1EA,Tesla Model 3,BEV
135,WA-044-474894458,98250,5YJXCBE2,Tesla Model X,BEV
136,WA-044-334235191,98126,1N4AZ0CP,Nissan Leaf,BEV
137,WA-044-268223959,98501,1G1FW6S0,Chevrolet Bolt EV,BEV
138,WA-044-9060299,98075,1G1FZ6S0,Chevrolet Bolt EV,BEV
139,WA-044-8896198,98660,1G1FW6S0,Chevrolet Bolt EV,BEV
140,WA-044-291840755,98516,1G1RD6S5,Chevrolet Volt,PHEV
141,WA-044-154031720,98059,5YJ3E1EB,Tesla Model 3,BEV
142,WA-044-254276144,98052,1G1RB6E4,Chevrolet Volt,PHEV
143,WA-044-211968417,98034,1N4AZ0CP,Nissan Leaf,BEV
144,WA-044-4935388,98033,1N4BZ1CP,Nissan Leaf,BEV
145,WA-044-288127577,99301,2C4RC1N7,Chrysler Pacifica,PHEV
146,WA-044-245427269,98029,5YJ3E1EB,Tesla Model 3,BEV
147,WA-044-347496236,98117,5YJ3E1EB,Tesla Model 3,BEV
148,WA-044-473967469,98038,5YJ3E1EB,Tesla Model 3,BEV
149,WA-044-348697436,98115,5YJSA1E2,Tesla Model S,BEV
150,WA-044-164582092,98006,5YJSA1H1,Tesla Model S,BEV
151,WA-044-196395216,98008,5YJSA1E2,Tesla Model S,BEV
152,WA-044-157660198,98036,5YJYGDEE,Tesla Model Y,BEV
153,WA-044-8068553,98828,1N4BZ1CP,Nissan Leaf,BEV
154,WA-044-473924076,99208,5YJ3E1EB,Tesla Model 3,BEV
155,WA-044-167639804,98155,WAUUPBFF,Audi A3 Plug In,PHEV
156,WA-044-5036146,98942,5YJ3E1EC,Tesla Model 3,BEV
157,WA-044-474872331,98006,WBY1Z4C5,BMW i3 REx,PHEV
158,WA-044-3261674,98074,1N4AZ1CP,Nissan Leaf,BEV
159,WA-044-180763117,98249,5YJYGDEE,Tesla Model Y,BEV
160,WA-044-346410046,98362,JHMZC5F3,Honda Clarity Plug In,PHEV
161,WA-044-350263595,98075,5YJ3E1EA,Tesla Model 3,BEV
162,WA-044-476933264,98226,JA3215H4,Mitsubishi i,BEV
163,WA-044-476555019,98026,5YJ3E1EB,Tesla Model 3,BEV
164,WA-044-140328492,98042,5YJYGDEE,Tesla Model Y,BEV
165,WA-044-156869646,98115,1N4BZ1BV,Nissan Leaf,BEV
166,WA-044-156899109,98221,WMW13DJ0,Mini Hardtop 2 Door EV,BEV
167,WA-044-100985209,98296,5YJ3E1EA,Tesla Model 3,BEV
168,WA-044-179354192,98110,5YJYGDEF,Tesla Model Y,BEV
169,WA-044-141660032,98109,5YJ3E1EB,Tesla Model 3,BEV
170,WA-044-104409126,98004,WA1F2BFY,Audi Q5 Plug In,PHEV
171,WA-044-100817398,98327,5UXKT0C5,BMW X5,PHEV
172,WA-044-144791503,99203,5YJ3E1EB,Tesla Model 3,BEV
173,WA-044-2074747,98070,1N4BZ1CP,Nissan Leaf,BEV
174,WA-044-112706842,98110,1FADP5CU,Ford C-Max Energi,PHEV
175,WA-044-233736884,98501,1G1FW6S0,Chevrolet Bolt EV,BEV
176,WA-044-181383044,98332,1G1FZ6S0,Chevrolet Bolt EV,BEV
177,WA-044-109528429,98290,3FA6P0PU,Ford Fusion Energi,PHEV
178,WA-044-179481921,98290,1G1FW6S0,Chevrolet Bolt EV,BEV
179,WA-044-156688276,98106,1N4BZ0CP,Nissan Leaf,BEV
180,WA-044-109992088,98087,5YJSA1DP,Tesla Model S,BEV
181,WA-044-185358785,98146,1G1RB6E4,Chevrolet Volt,PHEV
182,WA-044-148525282,98028,5YJYGDEE,Tesla Model Y,BEV
183,WA-044-185680428,98382,JTMAB3FV,Toyota RAV4 Prime,PHEV
184,WA-044-141854205,98033,JN1AZ0CP,Nissan Leaf,BEV
185,WA-044-478132602,98014,5YJSA1E4,Tesla Model S,BEV
186,WA-044-144855147,98848,5YJ3E1EB,Tesla Model 3,BEV
187,WA-044-112687494,98008,WA1LAAGE,Audi e-tron,BEV
188,WA-044-100281702,98837,JTDKN3DP,Toyota Prius Plug-in,PHEV
189,WA-044-104329872,99202,KM8K23AG,Hyundai Kona Electric,BEV
190,WA-044-172604113,98012,5YJSA1E6,Tesla Model S,BEV
191,WA-044-474936696,98004,5YJ3E1EB,Tesla Model 3,BEV
192,WA-044-138119173,98074,5YJSA1E2,Tesla Model S,BEV
193,WA-044-152737966,98607,5YJSA1DP,Tesla Model S,BEV
194,WA-044-120427324,98502,1G1FY6S0,Chevrolet Bolt EV,BEV
195,WA-044-100643938,98226,WP0AD2A7,Porsche Panamera S E-Hybrid,PHEV
196,WA-044-305758589,98532,JTDKARFP,Toyota Prius Prime,PHEV
197,WA-044-114311641,98074,5YJXCAE2,Tesla Model X,BEV
198,WA-044-150476700,98662,5YJYGDEE,Tesla Model Y,BEV
199,WA-044-124538634,98103,5YJYGDEE,Tesla Model Y,BEV
200,WA-044-108231497,98053,5YJXCBE2,Tesla Model X,BEV
201,WA-044-185570724,98125,JTMAB3FV,Toyota RAV4 Prime,PHEV
202,WA-044-474972270,98122,5YJ3E1EB,Tesla Model 3,BEV
203,WA-044-118132878,98027,WA1VABGE,Audi e-tron,BEV
204,WA-044-348230613,98272,WBY1Z4C5,BMW i3 REx,PHEV
205,WA-044-2253331,98837,5YJ3E1EB,Tesla Model 3,BEV
206,WA-044-268875743,98296,5YJXCAE2,Tesla Model X,BEV
207,WA-044-2246982,98282,5YJ3E1EA,Tesla Model 3,BEV
208,WA-044-267570922,98074,JHMZC5F1,Honda Clarity Plug In,PHEV
209,WA-044-187997589,98512,5YJ3E1EA,Tesla Model 3,BEV
210,WA-044-314445666,98273,1G1FX6S0,Chevrolet Bolt EV,BEV
211,WA-044-4858486,98661,WVWKP7AU,Volkswagen e-Golf,BEV
212,WA-044-251360700,98136,5YJ3E1EA,Tesla Model 3,BEV
213,WA-044-167958241,98155,1N4AZ0CP,Nissan Leaf,BEV
214,WA-044-1851020,98506,JTDKARFP,Toyota Prius Prime,PHEV
215,WA-044-199374514,98391,5YJXCBE2,Tesla Model X,BEV
216,WA-044-168391702,98391,5YJYGDEE,Tesla Model Y,BEV
217,WA-044-4806406,98404,1G1RC6S5,Chevrolet Volt,PHEV
218,WA-044-246820892,99354,1G1FX6S0,Chevrolet Bolt EV,BEV
219,WA-044-106051207,98607,5YJXCDE2,Tesla Model X,BEV
220,WA-044-128137187,98290,1G1RB6E4,Chevrolet Volt,PHEV
221,WA-044-170177402,98074,5YJSA1E1,Tesla Model S,BEV
222,WA-044-109601292,98021,5YJYGDEF,Tesla Model Y,BEV
223,WA-044-121389320,99208,JN1AZ0CP,Nissan Leaf,BEV
224,WA-044-120513774,98374,2C4RC1L7,Chrysler Pacifica,PHEV
225,WA-044-110300095,98026,1N4AZ1CP,Nissan Leaf,BEV
226,WA-044-154038538,98229,1G1FY6S0,Chevrolet Bolt EV,BEV
227,WA-044-171151305,98058,5YJ3E1EA,Tesla Model 3,BEV
228,WA-044-270828169,98294,1N4AZ1CP,Nissan Leaf,BEV
229,WA-044-260714534,98055,5YJ3E1EB,Tesla Model 3,BEV
230,WA-044-9395578,98103,1N4AZ0CP,Nissan Leaf,BEV
231,WA-044-245656001,98037,WBY1Z2C5,BMW i3,BEV
232,WA-044-345935964,98012,5YJ3E1EB,Tesla Model 3,BEV
233,WA-044-238072922,98391,1N4BZ1CP,Nissan Leaf,BEV
234,WA-044-154124008,98056,1G1RA6S5,Chevrolet Volt,PHEV
235,WA-044-236779035,98662,5YJSA1E4,Tesla Model S,BEV
236,WA-044-9797042,98006,1N4BZ0CP,Nissan Leaf,BEV
237,WA-044-475512488,98282,5YJSA1E2,Tesla Model S,BEV
238,WA-044-238445777,98382,1G1RA6S5,Chevrolet Volt,PHEV
239,WA-044-8041029,98671,5YJ3E1EB,Tesla Model 3,BEV
240,WA-044-1849494,98075,5YJ3E1EC,Tesla Model 3,BEV
241,WA-044-167876271,98118,KNDJX3AE,Kia Soul EV,BEV
242,WA-044-326630909,98321,3C3CFFGE,Fiat 500e,BEV
243,WA-044-335520468,98125,2C4RC1H7,Chrysler Pacifica,PHEV
244,WA-044-3165858,98056,WBY1Z4C5,BMW i3 REx,PHEV
245,WA-044-185060781,98177,5YJ3E1EB,Tesla Model 3,BEV
246,WA-044-174091326,98116,WP0AE2A7,Porsche Panamera S E-Hybrid,PHEV
247,WA-044-280801454,98851,1G1RB6S5,Chevrolet Volt,PHEV
248,WA-044-252593162,98019,5YJ3E1EA,Tesla Model 3,BEV
249,WA-044-210611110,99362,1FADP5CU,Ford C-Max Energi,PHEV
250,WA-044-2072598,98103,5YJ3E1EA,Tesla Model 3,BEV
251,WA-044-238635057,98155,1N4AZ0CP,Nissan Leaf,BEV
252,WA-044-260721730,98115,1N4BZ0CP,Nissan Leaf,BEV
253,WA-044-4967994,98103,WDC0G5EB,Mercedes GLC 350e Hybrid,PHEV
254,WA-044-348978934,98024,KNDJX3AE,Kia Soul EV,BEV
255,WA-044-8987023,98119,1G1FZ6S0,Chevrolet Bolt EV,BEV
256,WA-044-219298026,98604,3FA6P0PU,Ford Fusion Energi,PHEV
257,WA-044-280293891,98021,1N4AZ1CP,Nissan Leaf,BEV
258,WA-044-187771370,98077,WBY1Z4C5,BMW i3 REx,PHEV
259,WA-044-154054827,98671,5YJYGDEE,Tesla Model Y,BEV
260,WA-044-476148697,98109,5YJ3E1EB,Tesla Model 3,BEV
261,WA-044-251690099,98040,5YJSA1CG,Tesla Model S,BEV
262,WA-044-247372814,98074,5YJXCBE2,Tesla Model X,BEV
263,WA-044-4802766,99403,5YJSA1E2,Tesla Model S,BEV
264,WA-044-181239628,98250,1N4AZ1BV,Nissan Leaf,BEV
265,WA-044-125233454,98001,JTDKARFP,Toyota Prius Prime,PHEV
266,WA-044-118226951,98074,5UXTS1C0,BMW X3,PHEV
267,WA-044-172509739,98225,KNDCC3LG,Kia Niro EV,BEV
268,WA-044-125791592,98606,1N4AZ1CP,Nissan Leaf,BEV
269,WA-044-476302865,98007,1G1FZ6S0,Chevrolet Bolt EV,BEV
270,WA-044-144646365,98038,WMEFJ9BA,Smart forTwo EV,BEV
271,WA-044-127831567,98040,5YJXCBE4,Tesla Model X,BEV
272,WA-044-167158799,98020,3FMTK3SU,Ford Mustang Mach-E,BEV
273,WA-044-161870292,98031,5YJ3E1EA,Tesla Model 3,BEV
274,WA-044-476354329,98065,5YJ3E1EA,Tesla Model 3,BEV
275,WA-044-172845585,98199,3FMTK3SU,Ford Mustang Mach-E,BEV
276,WA-044-261884857,98087,JN1AZ0CP,Nissan Leaf,BEV
277,WA-044-478044206,98136,WBY8P6C5,BMW i3,BEV
278,WA-044-172623230,98119,1N4BZ0CP,Nissan Leaf,BEV
279,WA-044-106137699,98394,JA4J24A5,Mitsubishi Outlander Plug In,PHEV
280,WA-044-3765555,98012,5YJSA1E2,Tesla Model S,BEV
281,WA-044-100559266,98029,5YJ3E1EB,Tesla Model 3,BEV
282,WA-044-100854883,98105,1N4BZ1CP,Nissan Leaf,BEV
283,WA-044-109116017,99352,5YJ3E1EC,Tesla Model 3,BEV
284,WA-044-148519682,98027,5YJ3E1EB,Tesla Model 3,BEV
285,WA-044-181252067,98362,1G1RB6E4,Chevrolet Volt,PHEV
286,WA-044-124716882,98010,5YJ3E1EB,Tesla Model 3,BEV
287,WA-044-121208531,98199,1N4BZ0CP,Nissan Leaf,BEV
288,WA-044-128852426,98102,5YJ3E1EB,Tesla Model 3,BEV
289,WA-044-144152620,98027,5YJYGDEE,Tesla Model Y,BEV
290,WA-044-104699423,98109,1N4BZ0CP,Nissan Leaf,BEV
291,WA-044-327047857,98685,5YJ3E1EB,Tesla Model 3,BEV
292,WA-044-109677886,98662,JHMZC5F3,Honda Clarity Plug In,PHEV
293,WA-044-132924403,99337,1G1RB6S5,Chevrolet Volt,PHEV
294,WA-044-475052406,98026,5YJ3E1EA,Tesla Model 3,BEV
295,WA-044-109693475,98144,KMHC75LH,Hyundai Ioniq EV,BEV
296,WA-044-478138202,98685,2C4RC1L7,Chrysler Pacifica,PHEV
297,WA-044-101031682,98433,1N4AZ0CP,Nissan Leaf,BEV
298,WA-044-179345442,98125,5YJYGDEE,Tesla Model Y,BEV
299,WA-044-8467847,98683,1N4AZ0CP,Nissan Leaf,BEV
300,WA-044-148569522,98102,5YJ3E1EB,Tesla Model 3,BEV
301,WA-044-109230418,98103,1FAHP3R4,Ford Focus EV,BEV
302,WA-044-172798951,98053,1N4BZ1DV,Nissan Leaf,BEV
303,WA-044-1973051,98020,5YJ3E1EB,Tesla Model 3,BEV
304,WA-044-129813379,98026,YV4BC0PL,Volvo XC90 Plug In,PHEV
305,WA-044-208485784,98370,WBY1Z8C3,BMW i3 REx,PHEV
306,WA-044-148542040,98433,2C4RC1L7,Chrysler Pacifica,PHEV
307,WA-044-176586854,98053,5YJYGDEE,Tesla Model Y,BEV
308,WA-044-181106383,99004,1N4AZ0CP,Nissan Leaf,BEV
309,WA-044-131236689,98102,JF2GTDNC,Subaru Crosstrek Hybrid,PHEV
310,WA-044-105414753,98059,5YJ3E1EA,Tesla Model 3,BEV
311,WA-044-106059621,98011,5YJ3E1EB,Tesla Model 3,BEV
312,WA-044-135085219,98033,5YJSA1E2,Tesla Model S,BEV
313,WA-044-263687966,98033,5YJXCBE4,Tesla Model X,BEV
314,WA-044-3540939,98040,5YJ3E1EA,Tesla Model 3,BEV
315,WA-044-152677619,98926,JTMAB3FV,Toyota RAV4 Prime,PHEV
316,WA-044-133442480,98506,WMEEJ9AA,Smart forTwo EV,BEV
317,WA-044-104579520,98671,5YJ3E1EA,Tesla Model 3,BEV
318,WA-044-101659757,98391,1N4AZ0CP,Nissan Leaf,BEV
319,WA-044-104032113,98065,5YJXCBE2,Tesla Model X,BEV
320,WA-044-109880270,98033,5YJYGDEF,Tesla Model Y,BEV
321,WA-044-185949907,98011,JTMAB3FV,Toyota RAV4 Prime,PHEV
322,WA-044-170385561,98003,5YJ3E1EB,Tesla Model 3,BEV
323,WA-044-150788277,98122,5YJSA1DP,Tesla Model S,BEV
324,WA-044-107849724,98662,5YJSA1CN,Tesla Model S,BEV
325,WA-044-133848662,98826,1G1FX6S0,Chevrolet Bolt EV,BEV
326,WA-044-172529101,99203,5YJYGDEE,Tesla Model Y,BEV
327,WA-044-125805291,98682,JTDKN3DP,Toyota Prius Plug-in,PHEV
328,WA-044-196784262,98117,3FA6P0PU,Ford Fusion Energi,PHEV
329,WA-044-104179330,98052,5YJYGDEF,Tesla Model Y,BEV
330,WA-044-172422428,98117,KM8K33AG,Hyundai Kona Electric,BEV
331,WA-044-124321935,98225,1N4BZ0CP,Nissan Leaf,BEV
332,WA-044-148496568,98942,5YJYGDEE,Tesla Model Y,BEV
333,WA-044-103756894,98036,1N4AZ0CP,Nissan Leaf,BEV
334,WA-044-108314405,98312,1G1RA6E4,Chevrolet Volt,PHEV
335,WA-044-152766799,98177,2C4RC1N7,Chrysler Pacifica,PHEV
336,WA-044-144603049,98105,KM8K53AG,Hyundai Kona Electric,BEV
337,WA-044-167150574,98686,1G1FZ6S0,Chevrolet Bolt EV,BEV
338,WA-044-103461718,98033,5YJ3E1EA,Tesla Model 3,BEV
339,WA-044-128695556,98087,5YJ3E1EA,Tesla Model 3,BEV
340,WA-044-110258046,98033,5YJXCBE2,Tesla Model X,BEV
341,WA-044-8147065,98230,WA1LABGE,Audi e-tron,BEV
342,WA-044-3624155,98366,5YJ3E1EA,Tesla Model 3,BEV
343,WA-044-140168388,98671,5YJ3E1EA,Tesla Model 3,BEV
344,WA-044-133011609,98125,WVWKP7AU,Volkswagen e-Golf,BEV
345,WA-044-103732317,98290,1G1FZ6S0,Chevrolet Bolt EV,BEV
346,WA-044-112678982,98077,5YJ3E1EB,Tesla Model 3,BEV
347,WA-044-124633715,98501,5YJYGDEE,Tesla Model Y,BEV
348,WA-044-10055258,98122,1N4BZ1CP,Nissan Leaf,BEV
349,WA-044-144254946,99301,JA4J24A5,Mitsubishi Outlander Plug In,PHEV
350,WA-044-179411067,98059,5YJ3E1EA,Tesla Model 3,BEV
351,WA-044-329151490,98058,1G1RD6S5,Chevrolet Volt,PHEV
352,WA-044-109535268,98004,5YJ3E1EC,Tesla Model 3,BEV
353,WA-044-196929505,98042,1N4BZ0CP,Nissan Leaf,BEV
354,WA-044-8493845,98004,5YJXCBE2,Tesla Model X,BEV
355,WA-044-108835611,98056,5YJ3E1EB,Tesla Model 3,BEV
356,WA-044-177578467,99212,1G1RH6E4,Chevrolet Volt,PHEV
357,WA-044-108657965,98125,1G1RD6E4,Chevrolet Volt,PHEV
358,WA-044-109992760,98065,5YJ3E1EA,Tesla Model 3,BEV
359,WA-044-179312962,98607,1N4BZ1CP,Nissan Leaf,BEV
360,WA-044-167173422,98221,5YJ3E1EB,Tesla Model 3,BEV
361,WA-044-150354543,98032,5YJ3E1EA,Tesla Model 3,BEV
362,WA-044-148279666,98042,1N4BZ1CV,Nissan Leaf,BEV
363,WA-044-170190170,98115,WBA8E1C5,BMW 3-Series Plug in,PHEV
364,WA-044-100708534,98104,1G1FY6S0,Chevrolet Bolt EV,BEV
365,WA-044-114420197,98040,5YJYGDEE,Tesla Model Y,BEV
366,WA-044-305796613,98052,WBA8E1C5,BMW 3-Series Plug in,PHEV
367,WA-044-104958626,98125,1N4AZ0CP,Nissan Leaf,BEV
368,WA-044-118140382,98166,5YJ3E1EB,Tesla Model 3,BEV
369,WA-044-119710762,98498,5YJSA4S2,Tesla Model S,BEV
370,WA-044-103795737,98290,3C3CFFGE,Fiat 500e,BEV
371,WA-044-101750120,98294,1G1FY6S0,Chevrolet Bolt EV,BEV
372,WA-044-144157100,98282,1G1RH6E4,Chevrolet Volt,PHEV
