Vehicle ID,ZIP Code,Registration Valid Date,VIN Prefix,VIN Model Year,DMV ID,DMV ID Complete,DMV Snapshot,Registration Expiration Date,State Abbreviation,Geography,Vehicle Name,Technology
WA-044-167259424,98115,20/12/2021,5YJ3E1EB,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-220594076,98136,20/12/2021,1G1RA6S5,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Volt,PHEV
WA-044-109826440,98122,20/12/2021,WAUTPBFF,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Audi A3 Plug In,PHEV
WA-044-152601088,98199,20/12/2021,5YJ3E1EA,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-114486137,98122,20/12/2021,WBY1Z8C3,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,BMW i3 REx,PHEV
WA-044-176748659,98274,20/12/2021,1G1FW6S0,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Bolt EV,BEV
WA-044-104527944,98407,20/12/2021,WA1E2AFY,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Audi Q5 Plug In,PHEV
WA-044-119893392,98199,20/12/2021,WBY1Z4C5,E,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,BMW i3 REx,PHEV
WA-044-112433198,98225,20/12/2021,5YJYGDEE,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-128683159,99203,20/12/2021,5YJSA1E2,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model S,BEV
WA-044-156810678,98101,20/12/2021,4JGDA6DB,G,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Mercedes GLE55e,PHEV
WA-044-179420412,98516,20/12/2021,1N4AZ0CP,F,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-2823852,98065,20/12/2021,5YJ3E1EA,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-179328012,98121,20/12/2021,3FMTK4SE,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Ford Mustang Mach-E,BEV
WA-044-140116756,98612,20/12/2021,1G1RC6S5,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Volt,PHEV
WA-044-156955613,98038,20/12/2021,5YJ3E1EA,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-177571971,98366,20/12/2021,5YJSA1E2,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model S,BEV
WA-044-167079167,98112,20/12/2021,5UXTA6C0,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,BMW X5,PHEV
WA-044-109707167,98109,20/12/2021,5YJYGDEE,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-140190424,98662,20/12/2021,1G1RD6S5,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Volt,PHEV
WA-044-141347440,98118,20/12/2021,1G1FW6S0,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Bolt EV,BEV
WA-044-109160985,99003,20/12/2021,5YJSA1E4,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model S,BEV
WA-044-141324970,98229,20/12/2021,5YJ3E1EB,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-181306520,98103,20/12/2021,JHMZC5F1,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Honda Clarity Plug In,PHEV
WA-044-120406002,98512,20/12/2021,5YJ3E1EA,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-133503240,98569,20/12/2021,5YJSA1CP,D,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model S,BEV
WA-044-133057669,98445,20/12/2021,5YJ3E1EA,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-138355605,98332,20/12/2021,1FADP5EU,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Ford C-Max Energi,PHEV
WA-044-133821264,98661,20/12/2021,5YJ3E1EB,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-104282426,98087,20/12/2021,5YJ3E1EA,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-474944991,98208,20/12/2021,5YJ3E1EB,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-167007816,98027,20/12/2021,1N4BZ0CP,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-109997387,98155,20/12/2021,5YJYGDEE,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-104474338,98346,20/12/2021,5YJ3E1EA,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-101310695,98105,20/12/2021,3FA6P0SU,E,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Ford Fusion Energi,PHEV
WA-044-161729690,98223,20/12/2021,5YJYGAEE,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-138302643,98034,20/12/2021,5YJXCBE4,G,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model X,BEV
WA-044-185460908,98662,20/12/2021,JTMEB3FV,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Toyota RAV4 Prime,PHEV
WA-044-196993709,98038,20/12/2021,1G1RA6S5,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Volt,PHEV
WA-044-150402255,98126,20/12/2021,1G1RD6S5,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Volt,PHEV
WA-044-104829658,98103,20/12/2021,WMEEJ9AA,E,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Smart forTwo EV,BEV
WA-044-304666428,98006,20/12/2021,1G1RC6S5,G,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Volt,PHEV
WA-044-161730558,98335,20/12/2021,WVGTMPE2,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Volkswagen ID.4,BEV
WA-044-148583186,98335,20/12/2021,5YJYGDEE,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-108950775,98177,20/12/2021,SADHD2S1,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Jaguar I-Pace,BEV
WA-044-208480520,98629,20/12/2021,5YJSA1E1,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model S,BEV
WA-044-141538848,98275,20/12/2021,5YJYGDEE,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-170492409,98118,20/12/2021,5YJYGDEE,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-127827143,98346,20/12/2021,5YJSA1E2,G,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model S,BEV
WA-044-104664045,98112,20/12/2021,5YJYGDEF,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-104499090,98236,20/12/2021,1G1RC6S5,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Volt,PHEV
WA-044-113898312,98146,20/12/2021,1N4BZ0CP,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-475054534,98258,20/12/2021,5YJ3E1EB,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-104753190,98226,20/12/2021,JTDKARFP,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Toyota Prius Prime,PHEV
WA-044-141240221,98117,20/12/2021,1FADP5CU,G,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Ford C-Max Energi,PHEV
WA-044-156777582,98121,20/12/2021,5YJYGAEE,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-220822423,98661,20/12/2021,1N4AZ0CP,E,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-125450440,98177,20/12/2021,WBY1Z4C5,G,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,BMW i3 REx,PHEV
WA-044-148495924,98682,20/12/2021,5YJXCAE2,G,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model X,BEV
WA-044-248093835,98144,20/12/2021,1G1RA6E4,E,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Volt,PHEV
WA-044-156692196,98199,20/12/2021,5YJ3E1EB,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-478149584,98074,20/12/2021,5YJ3E1EB,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-150435687,98275,20/12/2021,5YJYGDEE,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-148256552,98663,20/12/2021,1N4AZ1CP,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-133854780,98053,20/12/2021,5YJSA1E2,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model S,BEV
WA-044-141776631,98290,20/12/2021,5YJYGDED,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-124531116,98006,20/12/2021,5YJSA1E2,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model S,BEV
WA-044-103655499,98177,20/12/2021,1N4AZ1CP,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-185868539,98405,20/12/2021,1FADP5FU,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Ford C-Max Energi,PHEV
WA-044-129664657,98033,20/12/2021,1N4BZ0CP,G,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-114278573,98201,20/12/2021,5YJYGDEF,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-113049877,98052,20/12/2021,1N4BZ1CP,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-101065268,98021,20/12/2021,WBY1Z4C5,G,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,BMW i3 REx,PHEV
WA-044-106079837,99338,20/12/2021,5YJ3E1EB,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-104620603,98311,20/12/2021,3C3CFFGE,E,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Fiat 500e,BEV
WA-044-476301395,98105,20/12/2021,5YJ3E1EB,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-105351655,98072,20/12/2021,5YJSA1DP,D,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model S,BEV
WA-044-133633461,98012,20/12/2021,1N4AZ0CP,E,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-108014497,98606,20/12/2021,5YJRE1A1,A,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Roadster,BEV
WA-044-181279780,98501,20/12/2021,5YJ3E1EB,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-124439675,98270,20/12/2021,5YJSA1E2,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model S,BEV
WA-044-176955131,98033,20/12/2021,5YJ3E1EA,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-110241197,98465,20/12/2021,5YJ3E1EB,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-100024515,98275,20/12/2021,WBY1Z4C5,F,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,BMW i3 REx,PHEV
WA-044-263957571,98310,20/12/2021,JN1AZ0CP,B,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-124563883,98052,20/12/2021,YV4BC0PL,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Volvo XC90 Plug In,PHEV
WA-044-110007971,98012,20/12/2021,5YJYGDEE,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-144884302,98902,20/12/2021,JTDKAMFP,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Toyota Prius Prime,PHEV
WA-044-208182250,98503,20/12/2021,JN1AZ0CP,B,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-235127581,98270,20/12/2021,KNDJP3AE,G,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Kia Soul EV,BEV
WA-044-103510655,98003,20/12/2021,5YJ3E1EB,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-100797686,98144,20/12/2021,WA1VABGE,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Audi e-tron,BEV
WA-044-9884780,98261,20/12/2021,1N4BZ1CP,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-260947046,98019,20/12/2021,5YJSA1E2,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model S,BEV
WA-044-3467614,98007,20/12/2021,5YJ3E1EA,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-292791124,98029,20/12/2021,5YJ3E1EB,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-154241825,98506,20/12/2021,5YJ3E1EB,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-336562838,98023,20/12/2021,1N4BZ1CP,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-238152519,98021,20/12/2021,5YJXCDE2,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model X,BEV
WA-044-304358736,98053,20/12/2021,JHMZC5F3,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Honda Clarity Plug In,PHEV
WA-044-325098861,98050,20/12/2021,5YJ3E1EB,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-8861044,98110,20/12/2021,KNDJX3AE,G,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Kia Soul EV,BEV
WA-044-261177850,98155,20/12/2021,1FADP5CU,F,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Ford C-Max Energi,PHEV
WA-044-237046323,98155,20/12/2021,KNDJX3AE,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Kia Soul EV,BEV
WA-044-335613820,98059,20/12/2021,1G1FX6S0,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Bolt EV,BEV
WA-044-236833915,98103,20/12/2021,5YJSA1E2,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model S,BEV
WA-044-233564292,98333,20/12/2021,5YJ3E1EA,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-8952282,98370,20/12/2021,KNDCD3LD,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Kia Niro Plug In,PHEV
WA-044-316279484,98245,20/12/2021,3FA6P0SU,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Ford Fusion Energi,PHEV
WA-044-164204365,98115,20/12/2021,3FA6P0PU,E,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Ford Fusion Energi,PHEV
WA-044-157700784,98102,20/12/2021,1C4JJXR6,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Jeep Wrangler Plug In,PHEV
WA-044-350304944,98014,20/12/2021,5YJ3E1EA,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-333151710,98133,20/12/2021,5YJSA1E2,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model S,BEV
WA-044-188211789,98244,20/12/2021,1N4AZ0CP,D,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-304540736,98074,20/12/2021,5YJ3E1EA,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-232756639,98444,20/12/2021,5YJ3E1EA,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-477773957,98087,20/12/2021,5YJ3E1EA,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-312712662,98011,20/12/2021,5YJ3E1EA,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-474894458,98250,20/12/2021,5YJXCBE2,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model X,BEV
WA-044-334235191,98126,20/12/2021,1N4AZ0CP,F,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-268223959,98501,20/12/2021,1G1FW6S0,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Bolt EV,BEV
WA-044-9060299,98075,20/12/2021,1G1FZ6S0,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Bolt EV,BEV
WA-044-8896198,98660,20/12/2021,1G1FW6S0,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Bolt EV,BEV
WA-044-291840755,98516,20/12/2021,1G1RD6S5,G,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Volt,PHEV
WA-044-154031720,98059,20/12/2021,5YJ3E1EB,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-254276144,98052,20/12/2021,1G1RB6E4,D,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Volt,PHEV
WA-044-211968417,98034,20/12/2021,1N4AZ0CP,D,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-4935388,98033,20/12/2021,1N4BZ1CP,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-288127577,99301,20/12/2021,2C4RC1N7,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chrysler Pacifica,PHEV
WA-044-245427269,98029,20/12/2021,5YJ3E1EB,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-347496236,98117,20/12/2021,5YJ3E1EB,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-473967469,98038,20/12/2021,5YJ3E1EB,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-348697436,98115,20/12/2021,5YJSA1E2,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model S,BEV
WA-044-164582092,98006,20/12/2021,5YJSA1H1,F,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model S,BEV
WA-044-196395216,98008,20/12/2021,5YJSA1E2,G,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model S,BEV
WA-044-157660198,98036,20/12/2021,5YJYGDEE,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-8068553,98828,20/12/2021,1N4BZ1CP,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-473924076,99208,20/12/2021,5YJ3E1EB,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-167639804,98155,20/12/2021,WAUUPBFF,G,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Audi A3 Plug In,PHEV
WA-044-5036146,98942,20/12/2021,5YJ3E1EC,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-474872331,98006,20/12/2021,WBY1Z4C5,F,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,BMW i3 REx,PHEV
WA-044-3261674,98074,20/12/2021,1N4AZ1CP,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-180763117,98249,20/12/2021,5YJYGDEE,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-346410046,98362,20/12/2021,JHMZC5F3,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Honda Clarity Plug In,PHEV
WA-044-350263595,98075,20/12/2021,5YJ3E1EA,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-476933264,98226,20/12/2021,JA3215H4,G,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Mitsubishi i,BEV
WA-044-476555019,98026,20/12/2021,5YJ3E1EB,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-140328492,98042,20/12/2021,5YJYGDEE,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-156869646,98115,20/12/2021,1N4BZ1BV,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-156899109,98221,20/12/2021,WMW13DJ0,N,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Mini Hardtop 2 Door EV,BEV
WA-044-100985209,98296,20/12/2021,5YJ3E1EA,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-179354192,98110,20/12/2021,5YJYGDEF,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-141660032,98109,20/12/2021,5YJ3E1EB,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-104409126,98004,20/12/2021,WA1F2BFY,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Audi Q5 Plug In,PHEV
WA-044-100817398,98327,20/12/2021,5UXKT0C5,G,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,BMW X5,PHEV
